feature,importance
hist_store_promo_avg_sales,37.891853942775356
hist_store_dow_avg_sales,35.63425120896117
Promo,10.418814747201905
iso_week,4.549607565664825
day_of_week,3.4630161972874243
day,3.0567092363205943
month_cos,1.4089918600926223
hist_store_month_avg_sales,1.129947662215277
day_of_week_cos,1.0872096442157766
day_of_week_sin,0.848976522628303
is_month_end,0.22573999279929305
month,0.10832051929714002
year,0.10425398029434586
month_sin,0.07230692024594727
Promo2Started,0.0
Promo2Active,0.0
WeeksSincePromo2Start,0.0
Store,0.0
PromoIntervalActive,0.0
hist_store_avg_sales,0.0
hist_store_median_sales,0.0
CompetitionActive,0.0
MonthsSinceCompetitionOpen,0.0
StateHoliday,0.0
CompetitionDistanceMissing,0.0
CompetitionDistanceLog,0.0
CompetitionDistance,0.0
Assortment,0.0
StoreType,0.0
SchoolHoliday,0.0
Promo2,0.0
Open,0.0
is_month_start,0.0
is_weekend,0.0
quarter,0.0
hist_store_type_avg_sales,0.0
