model,phase,split_name,train_rows,score_rows,train_end,score_start,score_end,runtime_seconds,rmspe,mae,rmse,bias
catboost,cv,cv_fold_1,675958,46830,2015-01-30,2015-01-31,2015-03-13,113.78502230008598,0.23018701298794947,635.6147161739502,1041.2105305033642,-196.14706413973678
catboost,cv,cv_fold_2,716117,46830,2015-03-13,2015-03-14,2015-04-24,131.64415730000474,0.14144598640141653,626.9233153187863,1048.3325983460213,-211.45304958539424
catboost,cv,cv_fold_3,754242,46830,2015-04-24,2015-04-25,2015-06-05,124.62388039997313,0.13470452321059234,602.820133040426,953.5066049870438,-235.35026776264445
lightgbm,cv,cv_fold_1,675958,46830,2015-01-30,2015-01-31,2015-03-13,5.386197800049558,0.21277320420457585,569.1793566140685,930.0448042883664,-167.75713026095406
lightgbm,cv,cv_fold_2,716117,46830,2015-03-13,2015-03-14,2015-04-24,20.732601499999873,0.13813205900457332,602.1414978803426,1016.6447095830041,-118.01679192745989
lightgbm,cv,cv_fold_3,754242,46830,2015-04-24,2015-04-25,2015-06-05,27.04308500001207,0.12269441468721683,532.5982738817004,846.1955182697944,-249.08058838450677
xgboost,cv,cv_fold_1,675958,46830,2015-01-30,2015-01-31,2015-03-13,3.931361800059676,0.21653038994550677,598.7015307846574,961.8150722254823,-189.40690811355984
xgboost,cv,cv_fold_2,716117,46830,2015-03-13,2015-03-14,2015-04-24,6.75725040002726,0.14526046718755994,644.7504890267574,1092.9454007199176,-294.0377086690723
xgboost,cv,cv_fold_3,754242,46830,2015-04-24,2015-04-25,2015-06-05,3.7549403000157326,0.18426657472832944,933.0861382369783,1537.157095955051,-742.2935359064494
catboost,holdout,final_holdout,790618,46830,2015-06-05,2015-06-06,2015-07-17,120.20444460003637,0.15284470837532138,709.1782374373621,1176.6981695298007,-338.83929749357753
lightgbm,holdout,final_holdout,790618,46830,2015-06-05,2015-06-06,2015-07-17,5.986793000018224,0.1776700549109906,845.8875592162931,1406.4750833015282,-398.0006142065802
xgboost,holdout,final_holdout,790618,46830,2015-06-05,2015-06-06,2015-07-17,3.952621200005524,0.17365859273808046,833.9874608999639,1369.333556421476,-403.9032288496957
